ownership,indownership,marriagestatus,indmarriagestatus,county,hhincome,agequant,agecat,famsize,sex,indsex,indpoverty,degree,inddegree
Own,1,Married,1,Jefferson,81580,71,70above,2,female,0,0,College Degree,1
Own,1,Not married,0,Fayette,20000,70,70above,1,male,1,0,College Degree,1
Rent,0,Not married,0,Jefferson,69000,28,18-29,4,male,1,0,No College Degree,0
Own,1,Not married,0,Kenton,50,60,60-69,1,female,0,1,College Degree,1
Own,1,Married,1,Jefferson,498000,43,40-49,4,male,1,0,College Degree,1
Rent,0,Not married,0,Jefferson,12000,57,50-59,1,female,0,1,No College Degree,0
Own,1,Married,1,Jefferson,305000,38,30-39,4,male,1,0,College Degree,1
Own,1,Not married,0,Jefferson,59000,31,30-39,4,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,130800,33,30-39,4,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,94000,30,30-39,3,female,0,0,College Degree,1
Rent,0,Not married,0,Fayette,21500,36,30-39,1,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,159000,43,40-49,4,male,1,0,College Degree,1
Own,1,Married,1,Kenton,59500,53,50-59,3,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,54800,64,60-69,2,female,0,0,No College Degree,0
Rent,0,Not married,0,Jefferson,60100,86,70above,1,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,143000,82,70above,2,male,1,0,College Degree,1
Rent,0,Not married,0,Fayette,32600,46,40-49,6,female,0,0,No College Degree,0
Rent,0,Not married,0,Kenton,4000,64,60-69,1,male,1,1,College Degree,1
Rent,0,Not married,0,Fayette,43800,23,18-29,3,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,51200,79,70above,2,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,9000,20,18-29,4,female,0,1,No College Degree,0
Rent,0,Not married,0,Warren,87000,24,18-29,1,female,0,0,College Degree,1
Rent,0,Married,1,Jefferson,8870,62,60-69,5,male,1,1,No College Degree,0
Rent,0,Not married,0,Warren,37100,20,18-29,1,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,43200,83,70above,1,female,0,0,No College Degree,0
Rent,0,Not married,0,Jefferson,130000,37,30-39,1,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,96000,47,40-49,4,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,95000,21,18-29,6,female,0,0,No College Degree,0
Own,1,Not married,0,Kenton,71100,19,18-29,3,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,150000,45,40-49,3,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,734000,63,60-69,1,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,246400,63,60-69,2,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,445300,60,60-69,2,female,0,0,No College Degree,0
Rent,0,Not married,0,Jefferson,57000,25,18-29,2,male,1,0,College Degree,1
Own,1,Married,1,Boone,112400,63,60-69,2,male,1,0,No College Degree,0
Rent,0,Not married,0,Kenton,9000,53,50-59,2,female,0,1,No College Degree,0
Rent,0,Not married,0,Kenton,52500,45,40-49,6,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,59700,75,70above,1,female,0,0,No College Degree,0
Own,1,Married,1,Kenton,9800,79,70above,2,male,1,1,No College Degree,0
Rent,0,Married,1,Kenton,33900,46,40-49,6,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,26200,66,60-69,1,female,0,1,College Degree,1
Rent,0,Not married,0,Jefferson,8000,74,70above,1,female,0,1,No College Degree,0
Own,1,Not married,0,Jefferson,23700,72,70above,1,female,0,0,No College Degree,0
Rent,0,Married,1,Jefferson,68500,73,70above,3,male,1,0,College Degree,1
Own,1,Married,1,Fayette,91000,42,40-49,4,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,82200,54,50-59,2,female,0,0,No College Degree,0
Rent,0,Married,1,Warren,21400,69,60-69,2,male,1,0,College Degree,1
Own,1,Not married,0,Kenton,36000,41,40-49,1,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,44000,24,18-29,3,female,0,1,No College Degree,0
Own,1,Married,1,Jefferson,39500,61,60-69,2,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,43800,74,70above,1,female,0,0,No College Degree,0
Rent,0,Not married,0,Jefferson,25000,63,60-69,1,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,96500,64,60-69,2,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,68800,76,70above,2,male,1,0,No College Degree,0
