ownership,indownership,marriagestatus,indmarriagestatus,county,hhincome,agequant,agecat,famsize,sex,indsex,indpoverty,degree,inddegree
Own,1,Married,1,Boone,98000,40,40-49,4,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,50300,65,60-69,2,male,1,0,College Degree,1
Rent,0,Married,1,Jefferson,122000,27,18-29,2,male,1,0,College Degree,1
Rent,0,Not married,0,Kenton,80700,42,40-49,5,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,103000,27,18-29,2,female,0,0,College Degree,1
Own,1,Married,1,Fayette,30900,67,60-69,2,female,0,0,No College Degree,0
Rent,0,Not married,0,Jefferson,23200,63,60-69,4,male,1,1,No College Degree,0
Own,1,Not married,0,Jefferson,30000,36,30-39,3,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,125000,62,60-69,2,female,0,0,College Degree,1
Own,1,Married,1,Kenton,174000,60,60-69,3,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,152300,65,60-69,1,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,125000,46,40-49,2,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,107000,45,40-49,5,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,70700,69,60-69,1,female,0,0,No College Degree,0
Own,1,Married,1,Fayette,175200,44,40-49,5,female,0,0,No College Degree,0
Rent,0,Not married,0,Jefferson,19500,54,50-59,2,male,1,0,No College Degree,0
Own,1,Not married,0,Warren,85000,30,30-39,2,male,1,0,College Degree,1
Own,1,Not married,0,Jefferson,46000,74,70above,1,male,1,0,College Degree,1
Own,1,Not married,0,Jefferson,38800,93,70above,1,male,1,0,College Degree,1
Own,1,Married,1,Fayette,76900,70,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Kenton,39350,60,60-69,2,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,150330,59,50-59,3,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,47500,70,70above,1,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,20000,63,60-69,1,female,0,0,College Degree,1
Own,1,Not married,0,Fayette,71700,25,18-29,2,male,1,0,College Degree,1
Own,1,Married,1,Kenton,43990,59,50-59,2,female,0,0,No College Degree,0
Own,1,Married,1,Boone,110000,56,50-59,2,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,153200,68,60-69,5,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,164100,81,70above,1,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,231100,68,60-69,2,female,0,0,College Degree,1
Rent,0,Not married,0,Jefferson,103500,31,30-39,2,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,57000,38,30-39,5,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,373080,64,60-69,5,male,1,0,College Degree,1
Own,1,Married,1,Kenton,158300,48,40-49,3,female,0,0,College Degree,1
Rent,0,Not married,0,Warren,10100,65,60-69,2,male,1,1,No College Degree,0
Rent,0,Married,1,Fayette,53000,23,18-29,2,female,0,0,No College Degree,0
Own,1,Not married,0,Boone,142500,24,18-29,5,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,72000,33,30-39,2,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,82000,43,40-49,3,male,1,0,College Degree,1
Own,1,Married,1,Kenton,71100,42,40-49,3,female,0,0,College Degree,1
Own,1,Married,1,Boone,25800,56,50-59,2,male,1,0,No College Degree,0
Rent,0,Married,1,Fayette,32460,47,40-49,3,female,0,0,No College Degree,0
Rent,0,Married,1,Jefferson,113000,41,40-49,5,male,1,0,College Degree,1
Own,1,Married,1,Kenton,416000,54,50-59,3,female,0,0,College Degree,1
Rent,0,Not married,0,Jefferson,37000,32,30-39,1,female,0,0,No College Degree,0
Own,1,Married,1,Warren,266900,71,70above,2,male,1,0,College Degree,1
Own,1,Not married,0,Jefferson,95000,34,30-39,1,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,45400,70,70above,2,female,0,0,No College Degree,0
Own,1,Married,1,Fayette,86700,62,60-69,2,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,193000,51,50-59,4,female,0,0,College Degree,1
Own,1,Married,1,Fayette,117000,40,40-49,3,male,1,0,College Degree,1
Rent,0,Not married,0,Boone,9100,63,60-69,1,female,0,1,No College Degree,0
Own,1,Married,1,Jefferson,62000,31,30-39,5,male,1,0,No College Degree,0
Own,1,Married,1,Kenton,150000,41,40-49,3,female,0,0,College Degree,1
Rent,0,Married,1,Jefferson,152000,42,40-49,2,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,35000,74,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,100000,49,40-49,4,female,0,0,College Degree,1
Own,1,Married,1,Warren,102440,69,60-69,3,male,1,0,No College Degree,0
Own,1,Married,1,Fayette,34000,29,18-29,3,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,75700,70,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Fayette,138000,48,40-49,3,male,1,0,College Degree,1
Own,1,Not married,0,Fayette,68000,28,18-29,3,female,0,0,College Degree,1
Rent,0,Not married,0,Fayette,49300,50,50-59,2,female,0,1,College Degree,1
Own,1,Married,1,Jefferson,51800,63,60-69,2,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,123400,93,70above,3,female,0,0,No College Degree,0
Rent,0,Not married,0,Fayette,81400,23,18-29,1,female,0,0,College Degree,1
Rent,0,Not married,0,Warren,22000,48,40-49,1,male,1,0,No College Degree,0
Rent,0,Married,1,Jefferson,85000,47,40-49,3,male,1,0,No College Degree,0
Rent,0,Not married,0,Warren,20000,19,18-29,1,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,53200,28,18-29,9,female,0,1,No College Degree,0
Rent,0,Married,1,Fayette,150000,41,40-49,2,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,32300,72,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Fayette,121000,50,50-59,3,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,141960,63,60-69,6,female,0,0,No College Degree,0
Rent,0,Not married,0,Fayette,4300,42,40-49,2,female,0,1,No College Degree,0
Own,1,Married,1,Kenton,74400,49,40-49,4,male,1,0,No College Degree,0
Own,1,Not married,0,Warren,72500,49,40-49,4,male,1,0,No College Degree,0
Rent,0,Not married,0,Fayette,62000,27,18-29,2,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,21900,87,70above,1,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,146100,32,30-39,4,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,35900,28,18-29,3,female,0,0,No College Degree,0
Rent,0,Not married,0,Jefferson,27400,21,18-29,3,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,110000,53,50-59,3,female,0,0,College Degree,1
Own,1,Married,1,Boone,29400,70,70above,2,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,47000,31,30-39,1,male,1,0,College Degree,1
Own,1,Married,1,Warren,127000,43,40-49,4,male,1,0,College Degree,1
Own,1,Married,1,Fayette,127000,55,50-59,3,male,1,0,No College Degree,0
Rent,0,Married,1,Jefferson,87800,41,40-49,6,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,4000,24,18-29,3,female,0,1,No College Degree,0
Rent,0,Not married,0,Fayette,78020,28,18-29,2,female,0,0,College Degree,1
Own,1,Married,1,Boone,52300,57,50-59,2,female,0,0,No College Degree,0
Own,1,Married,1,Warren,148000,59,50-59,3,male,1,0,College Degree,1
Own,1,Not married,0,Jefferson,84600,41,40-49,2,female,0,0,College Degree,1
Own,1,Married,1,Fayette,141200,31,30-39,4,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,119800,21,18-29,4,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,167000,24,18-29,4,male,1,0,No College Degree,0
Own,1,Married,1,Fayette,76000,44,40-49,3,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,47400,50,50-59,4,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,27100,57,50-59,1,female,0,0,No College Degree,0
Rent,0,Not married,0,Jefferson,20000,31,30-39,1,male,1,0,No College Degree,0
Rent,0,Not married,0,Fayette,18000,24,18-29,1,male,1,0,College Degree,1
Rent,0,Not married,0,Warren,122000,22,18-29,1,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,208500,41,40-49,3,male,1,0,College Degree,1
Own,1,Not married,0,Fayette,52200,73,70above,1,female,0,0,College Degree,1
Rent,0,Married,1,Warren,56000,46,40-49,4,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,100000,35,30-39,4,female,0,0,College Degree,1
Own,1,Not married,0,Fayette,53000,54,50-59,1,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,378000,33,30-39,3,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,47000,53,50-59,2,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,123400,70,70above,3,male,1,0,No College Degree,0
Own,1,Not married,0,Warren,79000,21,18-29,3,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,74000,68,60-69,2,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,76000,33,30-39,2,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,150700,59,50-59,2,female,0,0,College Degree,1
Own,1,Married,1,Fayette,60800,33,30-39,2,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,162500,73,70above,2,female,0,0,No College Degree,0
Rent,0,Not married,0,Jefferson,89100,26,18-29,3,male,1,0,No College Degree,0
Own,1,Married,1,Kenton,41400,72,70above,2,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,20500,78,70above,1,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,80200,68,60-69,2,female,0,0,No College Degree,0
Own,1,Married,1,Fayette,158030,57,50-59,3,female,0,0,College Degree,1
Own,1,Not married,0,Fayette,89900,28,18-29,1,female,0,0,No College Degree,0
Own,1,Married,1,Kenton,426200,69,60-69,2,female,0,0,College Degree,1
Own,1,Not married,0,Boone,152000,51,50-59,1,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,380800,76,70above,2,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,176200,66,60-69,4,male,1,0,No College Degree,0
Rent,0,Married,1,Kenton,120000,61,60-69,2,male,1,0,No College Degree,0
Rent,0,Married,1,Jefferson,36000,27,18-29,4,male,1,0,No College Degree,0
Own,1,Not married,0,Warren,36850,85,70above,1,female,0,0,No College Degree,0
Own,1,Married,1,Fayette,162100,50,50-59,4,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,145000,39,30-39,4,female,0,0,College Degree,1
Rent,0,Not married,0,Fayette,10000,35,30-39,2,male,1,1,No College Degree,0
Own,1,Married,1,Jefferson,58600,75,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Kenton,232000,50,50-59,4,male,1,0,College Degree,1
Rent,0,Not married,0,Fayette,90000,29,18-29,2,male,1,0,College Degree,1
Rent,0,Not married,0,Jefferson,6000,61,60-69,1,male,1,1,No College Degree,0
Own,1,Not married,0,Kenton,77000,57,50-59,1,male,1,0,No College Degree,0
Rent,0,Not married,0,Fayette,75100,25,18-29,1,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,68960,75,70above,2,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,18700,88,70above,1,male,1,0,No College Degree,0
Rent,0,Not married,0,Kenton,134500,19,18-29,4,male,1,0,No College Degree,0
Own,1,Not married,0,Boone,122000,24,18-29,2,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,34020,32,30-39,2,male,1,0,No College Degree,0
Own,1,Not married,0,Fayette,32000,32,30-39,1,female,0,0,College Degree,1
Rent,0,Married,1,Kenton,23500,51,50-59,2,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,105120,62,60-69,2,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,38200,75,70above,1,male,1,0,College Degree,1
Own,1,Married,1,Fayette,277200,37,30-39,5,male,1,0,College Degree,1
Rent,0,Not married,0,Jefferson,103000,26,18-29,1,male,1,0,College Degree,1
Rent,0,Married,1,Jefferson,53200,40,40-49,2,female,0,0,No College Degree,0
Own,1,Not married,0,Fayette,227000,27,18-29,3,female,0,0,College Degree,1
Rent,0,Not married,0,Jefferson,54000,21,18-29,2,female,0,0,No College Degree,0
Rent,0,Married,1,Boone,10000,38,30-39,2,male,1,1,No College Degree,0
Own,1,Married,1,Kenton,21500,73,70above,2,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,80000,52,50-59,2,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,84000,55,50-59,2,male,1,0,No College Degree,0
Rent,0,Married,1,Jefferson,15000,26,18-29,1,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,63700,77,70above,2,male,1,0,No College Degree,0
Rent,0,Not married,0,Fayette,79600,21,18-29,1,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,122700,43,40-49,4,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,67600,69,60-69,2,female,0,0,College Degree,1
Own,1,Married,1,Kenton,49200,76,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,35000,31,30-39,5,female,0,0,College Degree,1
Own,1,Married,1,Boone,45500,75,70above,2,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,71000,30,30-39,3,male,1,0,No College Degree,0
Own,1,Not married,0,Kenton,121000,64,60-69,1,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,103000,29,18-29,2,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,189700,18,18-29,2,female,0,0,No College Degree,0
Rent,0,Not married,0,Fayette,71630,19,18-29,2,male,1,0,No College Degree,0
Own,1,Married,1,Boone,40000,27,18-29,1,male,1,0,College Degree,1
Rent,0,Married,1,Jefferson,24850,35,30-39,4,female,0,1,College Degree,1
Own,1,Married,1,Warren,46700,71,70above,2,female,0,0,No College Degree,0
Own,1,Not married,0,Fayette,170000,35,30-39,3,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,45000,59,50-59,1,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,108800,37,30-39,3,male,1,0,No College Degree,0
Rent,0,Not married,0,Fayette,21500,35,30-39,1,female,0,1,No College Degree,0
Own,1,Married,1,Jefferson,71000,72,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Kenton,412600,36,30-39,5,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,50000,54,50-59,1,female,0,0,No College Degree,0
Own,1,Not married,0,Fayette,43000,80,70above,1,female,0,0,No College Degree,0
Own,1,Married,1,Boone,33000,53,50-59,3,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,108800,36,30-39,3,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,43600,71,70above,2,female,0,0,No College Degree,0
Own,1,Married,1,Boone,390030,41,40-49,6,male,1,0,College Degree,1
Rent,0,Married,1,Fayette,21500,35,30-39,3,male,1,0,College Degree,1
Own,1,Married,1,Kenton,106300,59,50-59,2,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,407000,38,30-39,4,female,0,0,College Degree,1
Rent,0,Not married,0,Boone,94000,21,18-29,2,male,1,0,No College Degree,0
Own,1,Married,1,Boone,98200,63,60-69,2,female,0,0,No College Degree,0
Rent,0,Not married,0,Fayette,35000,51,50-59,2,female,0,0,College Degree,1
Rent,0,Not married,0,Fayette,84100,25,18-29,1,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,106000,28,18-29,2,female,0,0,College Degree,1
Own,1,Not married,0,Kenton,15000,24,18-29,1,male,1,0,College Degree,1
Own,1,Married,1,Fayette,59000,63,60-69,2,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,75000,28,18-29,5,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,92000,38,30-39,4,female,0,0,No College Degree,0
Own,1,Married,1,Fayette,14600,72,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,18400,51,50-59,4,female,0,1,No College Degree,0
Own,1,Not married,0,Jefferson,16800,40,40-49,2,male,1,0,No College Degree,0
Rent,0,Married,1,Jefferson,62800,93,70above,2,male,1,0,College Degree,1
Own,1,Married,1,Fayette,106500,70,70above,2,male,1,0,College Degree,1
Own,1,Not married,0,Fayette,0,56,50-59,1,female,0,1,No College Degree,0
Own,1,Married,1,Warren,61100,69,60-69,2,female,0,0,No College Degree,0
Rent,0,Married,1,Jefferson,55700,76,70above,2,male,1,0,No College Degree,0
Rent,0,Not married,0,Fayette,81600,19,18-29,5,male,1,0,No College Degree,0
Rent,0,Married,1,Jefferson,27000,32,30-39,1,female,0,0,College Degree,1
Own,1,Married,1,Fayette,85000,44,40-49,4,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,442000,55,50-59,4,male,1,0,College Degree,1
Rent,0,Married,1,Jefferson,98000,19,18-29,5,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,36000,67,60-69,1,female,0,0,College Degree,1
Rent,0,Married,1,Jefferson,45000,33,30-39,4,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,33000,58,50-59,1,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,107300,40,40-49,3,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,17700,63,60-69,2,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,70000,35,30-39,1,female,0,0,College Degree,1
Rent,0,Not married,0,Kenton,45000,59,50-59,1,female,0,0,No College Degree,0
Own,1,Married,1,Kenton,106000,48,40-49,3,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,49900,77,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,70700,43,40-49,3,female,0,0,No College Degree,0
Rent,0,Not married,0,Jefferson,32000,37,30-39,2,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,316600,63,60-69,2,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,15700,68,60-69,1,female,0,0,No College Degree,0
Rent,0,Married,1,Jefferson,86700,46,40-49,4,male,1,0,No College Degree,0
Rent,0,Not married,0,Kenton,35800,35,30-39,5,female,0,0,No College Degree,0
Rent,0,Married,1,Fayette,62050,35,30-39,3,female,0,0,No College Degree,0
Rent,0,Married,1,Jefferson,40000,83,70above,2,female,0,0,College Degree,1
Own,1,Not married,0,Fayette,172700,26,18-29,3,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,167500,19,18-29,4,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,81000,72,70above,2,male,1,0,College Degree,1
Own,1,Married,1,Fayette,370500,70,70above,2,male,1,0,College Degree,1
Own,1,Married,1,Boone,173000,40,40-49,5,male,1,0,College Degree,1
Own,1,Not married,0,Warren,52000,59,50-59,2,female,0,1,No College Degree,0
Own,1,Married,1,Jefferson,360400,38,30-39,4,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,54160,69,60-69,2,male,1,0,College Degree,1
Rent,0,Not married,0,Warren,39000,37,30-39,1,female,0,0,College Degree,1
Own,1,Not married,0,Fayette,59300,60,60-69,1,female,0,0,College Degree,1
Rent,0,Not married,0,Jefferson,45000,30,30-39,1,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,40600,74,70above,2,male,1,0,No College Degree,0
Rent,0,Married,1,Fayette,24000,28,18-29,3,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,90000,38,30-39,3,female,0,0,College Degree,1
Own,1,Married,1,Fayette,104300,48,40-49,3,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,105250,53,50-59,3,female,0,0,College Degree,1
Own,1,Not married,0,Fayette,151000,39,30-39,7,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,91100,73,70above,2,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,225000,59,50-59,3,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,80350,18,18-29,5,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,216000,40,40-49,4,female,0,0,College Degree,1
Rent,0,Not married,0,Fayette,25000,22,18-29,2,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,0,56,50-59,2,female,0,1,No College Degree,0
Own,1,Married,1,Fayette,129600,77,70above,2,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,32500,67,60-69,1,female,0,0,No College Degree,0
Rent,0,Not married,0,Warren,31400,21,18-29,1,female,0,1,No College Degree,0
Rent,0,Married,1,Jefferson,83700,66,60-69,2,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,75800,33,30-39,3,male,1,0,College Degree,1
Own,1,Married,1,Kenton,138700,42,40-49,5,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,53200,70,70above,2,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,37800,45,40-49,2,female,0,0,No College Degree,0
Rent,0,Not married,0,Fayette,11900,56,50-59,1,female,0,1,No College Degree,0
Own,1,Married,1,Jefferson,22900,50,50-59,3,female,0,0,No College Degree,0
Own,1,Married,1,Warren,142008,56,50-59,3,female,0,0,College Degree,1
Own,1,Married,1,Fayette,46600,61,60-69,4,male,1,0,No College Degree,0
Own,1,Not married,0,Warren,26000,62,60-69,2,female,0,0,No College Degree,0
Own,1,Married,1,Warren,48510,75,70above,2,male,1,0,No College Degree,0
Own,1,Not married,0,Boone,22600,58,50-59,1,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,4080,36,30-39,5,female,0,1,No College Degree,0
Rent,0,Not married,0,Boone,85000,50,50-59,2,male,1,0,College Degree,1
Own,1,Not married,0,Jefferson,42000,33,30-39,1,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,101400,37,30-39,5,male,1,0,No College Degree,0
Own,1,Married,1,Boone,43900,80,70above,2,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,67900,55,50-59,2,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,17800,46,40-49,2,female,0,1,No College Degree,0
Own,1,Married,1,Kenton,101250,67,60-69,2,female,0,0,College Degree,1
Own,1,Not married,0,Fayette,0,76,70above,1,male,1,1,No College Degree,0
Own,1,Married,1,Fayette,230000,57,50-59,3,male,1,0,College Degree,1
Own,1,Married,1,Boone,65000,30,30-39,4,male,1,0,No College Degree,0
Own,1,Married,1,Fayette,137000,40,40-49,4,male,1,0,College Degree,1
Own,1,Married,1,Fayette,139000,35,30-39,4,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,105000,35,30-39,3,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,60800,27,18-29,2,male,1,0,College Degree,1
Rent,0,Not married,0,Fayette,111700,87,70above,1,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,24000,52,50-59,1,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,70300,63,60-69,3,male,1,0,No College Degree,0
Rent,0,Not married,0,Fayette,173400,24,18-29,1,male,1,1,College Degree,1
Own,1,Not married,0,Jefferson,21900,53,50-59,2,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,220000,55,50-59,2,female,0,0,College Degree,1
Rent,0,Married,1,Kenton,70000,35,30-39,5,female,0,0,No College Degree,0
Own,1,Married,1,Warren,132870,67,60-69,2,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,45000,26,18-29,1,female,0,0,No College Degree,0
Own,1,Married,1,Fayette,88810,71,70above,2,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,30000,44,40-49,2,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,60000,30,30-39,2,female,0,0,College Degree,1
Own,1,Not married,0,Kenton,236000,22,18-29,3,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,137000,31,30-39,2,male,1,0,No College Degree,0
Rent,0,Not married,0,Warren,14700,81,70above,1,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,40500,83,70above,1,female,0,0,College Degree,1
Own,1,Not married,0,Fayette,28800,28,18-29,2,male,1,0,No College Degree,0
Rent,0,Not married,0,Kenton,24000,74,70above,1,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,98000,81,70above,2,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,199000,52,50-59,4,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,62400,75,70above,4,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,37900,63,60-69,2,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,138400,66,60-69,2,male,1,0,College Degree,1
Own,1,Married,1,Fayette,44700,30,30-39,1,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,58000,43,40-49,3,female,0,0,No College Degree,0
Own,1,Not married,0,Fayette,21400,76,70above,1,female,0,0,College Degree,1
Rent,0,Not married,0,Jefferson,50000,24,18-29,2,female,0,1,College Degree,1
Own,1,Married,1,Jefferson,77000,84,70above,4,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,88000,61,60-69,2,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,54300,61,60-69,2,female,0,0,No College Degree,0
Own,1,Married,1,Jefferson,63810,74,70above,2,female,0,0,No College Degree,0
Own,1,Married,1,Fayette,316000,37,30-39,4,female,0,0,College Degree,1
Rent,0,Married,1,Jefferson,77180,29,18-29,4,female,0,0,College Degree,1
Own,1,Married,1,Warren,44320,51,50-59,3,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,123880,33,30-39,4,female,0,0,College Degree,1
Rent,0,Not married,0,Jefferson,71200,21,18-29,4,male,1,0,No College Degree,0
Own,1,Married,1,Fayette,320000,31,30-39,2,male,1,0,College Degree,1
Own,1,Not married,0,Warren,37020,25,18-29,2,male,1,0,No College Degree,0
Own,1,Married,1,Jefferson,110390,54,50-59,3,male,1,0,No College Degree,0
Own,1,Not married,0,Jefferson,65500,85,70above,1,female,0,0,College Degree,1
Rent,0,Not married,0,Jefferson,10000,41,40-49,2,female,0,1,College Degree,1
Rent,0,Not married,0,Jefferson,50800,40,40-49,3,male,1,0,College Degree,1
Rent,0,Not married,0,Kenton,20000,34,30-39,2,female,0,1,No College Degree,0
Rent,0,Married,1,Boone,56700,87,70above,2,male,1,0,No College Degree,0
Own,1,Married,1,Warren,25400,78,70above,2,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,50000,30,30-39,1,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,40500,77,70above,2,female,0,0,No College Degree,0
Rent,0,Not married,0,Boone,115600,28,18-29,1,male,1,0,No College Degree,0
Own,1,Married,1,Fayette,85000,54,50-59,3,male,1,0,No College Degree,0
Own,1,Married,1,Fayette,95000,40,40-49,3,male,1,0,College Degree,1
Own,1,Married,1,Warren,132000,52,50-59,5,male,1,0,College Degree,1
Own,1,Married,1,Jefferson,140000,52,50-59,3,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,42000,47,40-49,1,male,1,0,College Degree,1
Own,1,Not married,0,Kenton,176500,79,70above,3,male,1,0,College Degree,1
Own,1,Married,1,Kenton,106600,47,40-49,4,male,1,0,No College Degree,0
Rent,0,Not married,0,Jefferson,78700,25,18-29,3,female,0,0,No College Degree,0
Own,1,Not married,0,Jefferson,23500,59,50-59,2,female,0,0,College Degree,1
Own,1,Married,1,Fayette,1200,67,60-69,2,male,1,1,No College Degree,0
Own,1,Not married,0,Kenton,22200,64,60-69,2,female,0,0,College Degree,1
Own,1,Married,1,Warren,43000,47,40-49,2,female,0,0,College Degree,1
Own,1,Married,1,Jefferson,50000,54,50-59,2,female,0,0,No College Degree,0
Own,1,Not married,0,Kenton,44300,46,40-49,1,female,0,0,College Degree,1
Own,1,Not married,0,Jefferson,92700,20,18-29,4,male,1,0,No College Degree,0
Own,1,Not married,0,Kenton,9300,69,60-69,1,male,1,1,No College Degree,0
Own,1,Not married,0,Boone,36000,51,50-59,1,female,0,0,No College Degree,0
